ar.com.jmfsg	api-doc	0.0.19		78efe039d8fafa61da1970db6252eee57c77dc68
ar.com.jmfsg	api-doc	0.0.20		c9679729acac1b0e6f0588db39fac37de098e4a7
ar.com.jmfsg	api-doc	0.0.21		1a951c7c121baff3d66768e36d6aacd6e09cf063
ar.com.jmfsg	api-doc	0.0.22		abc36bc28e8716c97c98282b59b3c8fbd4b5f05f
ar.com.jmfsg	api-doc	0.0.23		5de53e79434f00d7a7c9aa9741bddb5258407a29
ar.com.jmfsg	api-doc	0.0.24		65cdbd2d4824298733789b040471e579bf2cda55
ar.com.jmfsg	api-doc	0.0.25		44f3b5a12f26a67b8f18d1c6b769844f11e05ea0
ar.com.jmfsg	api-doc	0.0.26		47a32b295a0ccb3bcd5abba0d2f2f1edb4037e17
ar.com.jmfsg	api-doc	0.0.27		ebf9c39825a5f14fabb9cf81065ea75b642f3689
ar.com.jmfsg	api-doc	0.0.28		68b95a945511b948f0216bc448c3416b3b97515c
ar.com.jmfsg	api-doc	0.0.29		50d52d7150a1e2b4fc59127f2012d80853f102cf
ar.com.jmfsg	api-doc	0.0.30		14e37fec0306ed60346653c9aea80142177d92ec
ar.com.jmfsg	api-doc	0.0.31		4146bce2555f14aa5ad5abb6c69ebaa9173c6d57
ar.com.jmfsg	api-doc	0.0.32		86764286c13b4a194daac62c51d63647bf8bfb15
ar.com.jmfsg	api-doc	0.0.34		1fd797ff69d9c4222446ef165a137f091fcb8eeb
aws.sdk.kotlin	auditmanager	0.10.0-beta		4c3a87f7e5cbf3684f7faa3d8ca9caab5318ccba
aws.sdk.kotlin	auditmanager	0.10.1-beta		13b40d021cc6935d4686c47bd733d06fc8512a0d
aws.sdk.kotlin	auditmanager	0.11.0-beta		f0803cb4c872319847fe71a1af7dc85797c82abe
aws.sdk.kotlin	auditmanager	0.12.0-beta		4c630f2c1bc1a3865aecfcf8be6a8fbf50183848
aws.sdk.kotlin	auditmanager	0.13.0-beta		cb434b1f38b084bedee2689aa5334f3201e4fd80
aws.sdk.kotlin	auditmanager	0.13.1-beta		6fca981163410a40d509c64969daa1b8149f243e
aws.sdk.kotlin	auditmanager	0.14.0-beta		742c40cf9be47aa016272cc2ac07c891add02888
aws.sdk.kotlin	auditmanager	0.14.1-beta		e17125306d1f56e350e13fe71a8f3a3984c735db
aws.sdk.kotlin	auditmanager	0.14.2-beta		314dda805f80d3ee1e20d9f3c1c441446426011b
aws.sdk.kotlin	auditmanager	0.14.3-beta		6f11e3b62f22e89693cad98cf5b7805e30b07961
aws.sdk.kotlin	auditmanager	0.14.4-beta		3c51f79e090c276bdd782236a11701b2977f2aa8
aws.sdk.kotlin	auditmanager	0.15.0		b934e36ff3699920fc8f837812dfac1dcc7a94de
aws.sdk.kotlin	auditmanager	0.15.1-beta		b940560f9bb6cfe544534abe8c54f51ffaf2e184
aws.sdk.kotlin	auditmanager	0.15.2-beta		237ca3bb19e9e3ceba01da66aff13c6ae5dc34ef
aws.sdk.kotlin	auditmanager	0.16.0		3d000c8909dbd96d6dded4824b5eda1f4f63563b
aws.sdk.kotlin	auditmanager	0.16.1-beta		e2b2f2582de41d6c4940a03eb248e54cf1687217
aws.sdk.kotlin	auditmanager	0.16.2-beta		218c18424f60a78169f551963eda952e36e30561
aws.sdk.kotlin	auditmanager	0.16.3-beta		d8baa48fa6eb7b2a2d652409970a908b3622a6c7
aws.sdk.kotlin	auditmanager	0.16.4-beta		eb88fac5d0c0e72aac532e1b4035d6b9d9ea9b54
aws.sdk.kotlin	auditmanager	0.16.5-beta		dadce5cdcee877effd617eaa57d7d90e3fdd5e0e
aws.sdk.kotlin	auditmanager	0.16.6-beta		33355f29f6d74f5add2ba381125332352070e30d
aws.sdk.kotlin	auditmanager	0.16.7-beta		01987cc7c81b7073792e315b9eda5f0fd61ed165
aws.sdk.kotlin	auditmanager	0.17.0-beta		153e27c608bc0bb9311d5a49994bf9047a18f3da
aws.sdk.kotlin	auditmanager	0.17.1-beta		1b5ce62e52176eb2391b3952209d7e3089f05350
aws.sdk.kotlin	auditmanager	0.17.10-beta		e7ddb49fc54b825af398bc53ab34a9e5af09ff19
aws.sdk.kotlin	auditmanager	0.17.10-beta	all	9f997ecdfd8c87bebbb1005b87e2ac5a581294c5
aws.sdk.kotlin	auditmanager	0.17.11-beta		c54e7484783e60ed910e4e8425e9ef50a17a1f82
aws.sdk.kotlin	auditmanager	0.17.11-beta	all	2fe9e460e54079b0b267db65c60e6829aec4562f
aws.sdk.kotlin	auditmanager	0.17.12-beta		e54be7a0082d78996d26a84f2ee7f9be39372c09
aws.sdk.kotlin	auditmanager	0.17.12-beta	all	65f51998ab845331199fef843e341f02ce6cedee
aws.sdk.kotlin	auditmanager	0.17.2-beta		bffe7937504e3ef9f933f11e1720f13f76af6ec6
aws.sdk.kotlin	auditmanager	0.17.3-beta		717580bb89092cb3bf0e08556483e3b9da63a9bf
aws.sdk.kotlin	auditmanager	0.17.4-beta		f4225b97506910517cd605daeb3359e7094f477a
aws.sdk.kotlin	auditmanager	0.17.5-beta		646a30b34ce9498da89d6a1791c4f7cab2c827f0
aws.sdk.kotlin	auditmanager	0.17.6-beta		e171f2a26514b2608535963b1daed53513edf1b2
aws.sdk.kotlin	auditmanager	0.17.7-beta		835a225ffe2695165186e62c32a1e3be954f9575
aws.sdk.kotlin	auditmanager	0.17.8-beta		758da0dbd48ddb74068e7bcb419e760a9d832899
aws.sdk.kotlin	auditmanager	0.17.8-beta	all	7d9274917f7e5ceb40edbe57b92ebcf6a26cf24a
aws.sdk.kotlin	auditmanager	0.17.9-beta		18621f93332186c4f85803a349de13e5ba53cef4
aws.sdk.kotlin	auditmanager	0.17.9-beta	all	1a45ac27c45c07912a1dbcc05045615e7f38189a
aws.sdk.kotlin	auditmanager	0.18.0-beta		66c925b94e5aea14dfcf86bea3ebe58bef7053a8
aws.sdk.kotlin	auditmanager	0.18.0-beta	all	50051e4e58148ac9cc5454ded2f5d48cdf19cb02
aws.sdk.kotlin	auditmanager	0.19.0-beta		1344865c0ae213794d9048baaca209fc8843ec04
aws.sdk.kotlin	auditmanager	0.19.0-beta	all	5164ea52dc1031c4630370f034ce35176d04c706
aws.sdk.kotlin	auditmanager	0.19.1-beta		d22a4e5724c4867626306c7f6b28d016ad8857bd
aws.sdk.kotlin	auditmanager	0.19.1-beta	all	bb42bad715a44a77f53695eacf07bdeb3ebc87d0
aws.sdk.kotlin	auditmanager	0.19.2-beta		13607ee7c262c1928f67bb18c09bc7a6068fd92b
aws.sdk.kotlin	auditmanager	0.19.2-beta	all	1438a5d0bd7f32699d6409eb50d699143899511f
aws.sdk.kotlin	auditmanager	0.19.3-beta		39e48ad7c0c93b9442eb3dfd3f6f889872efa35a
aws.sdk.kotlin	auditmanager	0.19.3-beta	all	806849792caaa7ffd5b6bb22657c3f6db888b114
aws.sdk.kotlin	auditmanager	0.19.4-beta		2c7aaca5fb2ed1b0d3c6307cb8946dc7972771a3
aws.sdk.kotlin	auditmanager	0.19.4-beta	all	11886c39265935133c4d13f2d2db3367c740d25e
aws.sdk.kotlin	auditmanager	0.19.5-beta		f4250e25b2f1bf9b92b2795f48852ee9beef3eaa
aws.sdk.kotlin	auditmanager	0.19.5-beta	all	7fdd40ecadc9426601c0e6be57ec04d75c94290f
aws.sdk.kotlin	auditmanager	0.20.0-beta		c84f6c25fd1cbeeda38cbffb5a7f82463c4d2de5
aws.sdk.kotlin	auditmanager	0.20.0-beta	all	2cecd0e0812259177422f50ccc49e7dbbc227f5c
aws.sdk.kotlin	auditmanager	0.20.1-beta		79f8a104da2cdac6e9d9a5900df294535f991a52
aws.sdk.kotlin	auditmanager	0.20.1-beta	all	2cecd0e0812259177422f50ccc49e7dbbc227f5c
aws.sdk.kotlin	auditmanager	0.20.2-beta		91da182e44f60a671fca618d862df76c61c79c77
aws.sdk.kotlin	auditmanager	0.20.2-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.20.3-beta		72d1f8184fa7c154c71783928eec55fcbeaaec85
aws.sdk.kotlin	auditmanager	0.20.3-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.21.0-beta		0dfc83bd0e03fcb8da371a12897645594d82722f
aws.sdk.kotlin	auditmanager	0.21.0-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.21.1-beta		e6edaf8c877ec664fb021812c7daa0e1f5315291
aws.sdk.kotlin	auditmanager	0.21.1-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.21.2-beta		bf534dcc411e2e886dbd9b2ac31c534885b3c0e8
aws.sdk.kotlin	auditmanager	0.21.2-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.21.3-beta		99f8b6c0561b13b7cb671f73b271ef1787ab3bc9
aws.sdk.kotlin	auditmanager	0.21.3-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.21.4-beta		2eb6c01ae6db3ceabf696f177ddf26fb906265fc
aws.sdk.kotlin	auditmanager	0.21.4-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.21.5-beta		f28ed1b0f00a8239ecd77d0b2fc65963348243ff
aws.sdk.kotlin	auditmanager	0.21.5-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.22.0-beta		c41be39a0a0236a90fe6b4ff7ca9b30e20d62d00
aws.sdk.kotlin	auditmanager	0.22.0-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.22.1-beta		0f4cf9cb9e495e8dd287c360b384081530b8c144
aws.sdk.kotlin	auditmanager	0.22.1-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.23.0-beta		52c3657882f43e5d934ef68f1436af5eccd1996b
aws.sdk.kotlin	auditmanager	0.23.0-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.24.0-beta		c80aa79145a5444816d0a359bcd6bc7c6fb4f0a2
aws.sdk.kotlin	auditmanager	0.24.0-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.25.0-beta		0ebc3831a5ac19e6ed19d289c9ed98266273de8a
aws.sdk.kotlin	auditmanager	0.25.0-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.26.0-beta		7f705f51e9fb673e9c02a699cb987b7518da6424
aws.sdk.kotlin	auditmanager	0.26.0-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.26.1-beta		f59c5152afaa50319d91e3192060ace9e383eae5
aws.sdk.kotlin	auditmanager	0.26.1-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.27.0-beta		d6403bec61fc51da3fededc343ec3d13abf035e3
aws.sdk.kotlin	auditmanager	0.27.0-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.27.1-beta		a3b950fc9ca4c90e05552e47a5e29a4049faa74a
aws.sdk.kotlin	auditmanager	0.27.1-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.27.2-beta		01ce8694915de08a4c1f3e637ed305fe6f15265e
aws.sdk.kotlin	auditmanager	0.27.2-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.28.0-beta		6a39e1f81b42f117733f5ac849cb5f8064852aa5
aws.sdk.kotlin	auditmanager	0.28.0-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.28.1-beta		54fed40d9e7e884414251bfce7cc52d950156e3c
aws.sdk.kotlin	auditmanager	0.28.1-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.28.2-beta		f346d0582d1cfd7c07efc56dbe0be38c8bb26d50
aws.sdk.kotlin	auditmanager	0.28.2-beta	all	27ffaf80d7a4f3c94ee534b1bef0643b57c8f585
aws.sdk.kotlin	auditmanager	0.29.0-beta		6cb3b53e47b18015911e7d83dacf62715c2d593d
