aws.sdk.kotlin	firehose-jvm	0.16.0		d02d8dfe49cc2c5aaa354aa3680c3e74188fe11f
aws.sdk.kotlin	firehose-jvm	0.16.1-beta		a6fa9bc1051f5155d35d3c8a22fc176392043dc8
aws.sdk.kotlin	firehose-jvm	0.16.2-beta		6eabbced5460074e8528dca8a164efae59925e0b
aws.sdk.kotlin	firehose-jvm	0.16.3-beta		17f12c4772c9ffe006cbb905f0a04b77a1e6219c
aws.sdk.kotlin	firehose-jvm	0.16.4-beta		a98bb28ebb3e71c1a0ecb27745ff5beff0bfd50c
aws.sdk.kotlin	firehose-jvm	0.16.5-beta		c08665d6ffabee927fd1987021b902da1101306b
aws.sdk.kotlin	firehose-jvm	0.16.6-beta		64bebbfa29d527c162ab37059c0daf1c59f3f521
aws.sdk.kotlin	firehose-jvm	0.16.7-beta		68ddb96a77d763dc25a6449347f1315f7c4549f5
aws.sdk.kotlin	firehose-jvm	0.17.0-beta		7d686a1314fca3fb18bbb57c2c0ca913183817db
aws.sdk.kotlin	firehose-jvm	0.17.1-beta		56ad8bfebfd7749896d2e72369df2fb90d9b234c
aws.sdk.kotlin	firehose-jvm	0.17.10-beta		aa73f069da9a2c1e8deef760c4b0b1d1a2067480
aws.sdk.kotlin	firehose-jvm	0.17.11-beta		1619541293e1daa58b05db25664f2091741eddd8
aws.sdk.kotlin	firehose-jvm	0.17.12-beta		7ead8d0c8f3f7090ff33ee317399ab9c20236dde
aws.sdk.kotlin	firehose-jvm	0.17.2-beta		64e83636540f59179159fc7cf4cd2ee693d3ac7f
aws.sdk.kotlin	firehose-jvm	0.17.3-beta		0a278af38850c2dd379bedf9b0db7ca6926d513a
aws.sdk.kotlin	firehose-jvm	0.17.4-beta		1f73d5687ec875a324f2ab4782da3c31729df09c
aws.sdk.kotlin	firehose-jvm	0.17.5-beta		f4b166a98480d334ab8feaa7f5859d2f9b2c7d52
aws.sdk.kotlin	firehose-jvm	0.17.6-beta		6a3799a21ce79b3429c6669457183a8224d5b154
aws.sdk.kotlin	firehose-jvm	0.17.7-beta		4460cf8dd72d77f324e2184b638db696b1ff53e5
aws.sdk.kotlin	firehose-jvm	0.17.8-beta		76b50830c81f395ae69436b01188d170ed3c7e98
aws.sdk.kotlin	firehose-jvm	0.17.9-beta		aac4ab5c6dcc242234e02b0ab0f41115cda4d734
aws.sdk.kotlin	firehose-jvm	0.18.0-beta		fad864f359d9406d86a8c79ca9e0441588ca2abe
aws.sdk.kotlin	firehose-jvm	0.19.0-beta		8bd6eceee55b4b5d3cb149de603bc96b7a0dc4b8
aws.sdk.kotlin	firehose-jvm	0.19.1-beta		1a1af4c14fd8cf3fd55b72fa2439966a9fff519e
aws.sdk.kotlin	firehose-jvm	0.19.2-beta		e8a99f4a5f5e0b7311ba310b57b11121e07b55ba
aws.sdk.kotlin	firehose-jvm	0.19.3-beta		326d61dcc565a12d0b96f3dbc44a53d03cfa8851
aws.sdk.kotlin	firehose-jvm	0.19.4-beta		0b47a8c3391947a7c71dd073309fddcb2b200187
aws.sdk.kotlin	firehose-jvm	0.19.5-beta		1192765e7acd72598d6e36d5382f06a3d8db1327
aws.sdk.kotlin	firehose-jvm	0.20.0-beta		d9172ede4e0fb965b9ea03a81eb64c50b4d762f7
aws.sdk.kotlin	firehose-jvm	0.20.1-beta		c0480ccff4d898f12c9d8fb02aa395115b86de80
aws.sdk.kotlin	firehose-jvm	0.20.2-beta		3928a290fe4f00d361f6ef25f9ca0b24798236bf
aws.sdk.kotlin	firehose-jvm	0.20.3-beta		999d14b67cbef2f3c92d790585b2cc79c4f550a7
aws.sdk.kotlin	firehose-jvm	0.21.0-beta		72e96e900ee06b2786df254eec57adf382d47612
aws.sdk.kotlin	firehose-jvm	0.21.1-beta		6716803760dbfaa5f566775e4fffadaafb781d3b
aws.sdk.kotlin	firehose-jvm	0.21.2-beta		52c27258a10b6356f372cf3367b74f86ad357f22
aws.sdk.kotlin	firehose-jvm	0.21.3-beta		2dfae0443dc45cbafce97890f8c498dccb7a4231
aws.sdk.kotlin	firehose-jvm	0.21.4-beta		4140eb3bd038387bf887c72c7f5a42e4932ded21
aws.sdk.kotlin	firehose-jvm	0.21.5-beta		08a9872fcdade279dee03528db5a7983319d4899
aws.sdk.kotlin	firehose-jvm	0.22.0-beta		b3b6bb93914be5ba5461842af6bfb681c4fc8ceb
aws.sdk.kotlin	firehose-jvm	0.22.1-beta		c21548412d0148cc402c5ed4bce9467c21e09a80
aws.sdk.kotlin	firehose-jvm	0.23.0-beta		98853c859ab9dbfa0ffbede79414e2c055094d9a
aws.sdk.kotlin	firehose-jvm	0.24.0-beta		79e1cc91f2bcc3a339418dd15e173e9625e9dc26
aws.sdk.kotlin	firehose-jvm	0.25.0-beta		80b5e97105d4648a7206b6c317bdc057d210a584
aws.sdk.kotlin	firehose-jvm	0.26.0-beta		2c867783d10c6e1cda61e7b25c4481b3b6ac1ce2
aws.sdk.kotlin	firehose-jvm	0.26.1-beta		78d540e476f2f58f00185ad538716a4af19136d7
aws.sdk.kotlin	firehose-jvm	0.27.0-beta		e838059f955255b2a9d21b97292eb259a175602a
aws.sdk.kotlin	firehose-jvm	0.27.1-beta		205a9d6912a25b0a45c3b686ed4ca3b82897266f
aws.sdk.kotlin	firehose-jvm	0.27.2-beta		92d2e601449fcc18692cabaf7f9ce3d18efa752e
aws.sdk.kotlin	firehose-jvm	0.28.0-beta		0cec750d5426523d85a9ea37198d8e6249d1f5f2
aws.sdk.kotlin	firehose-jvm	0.28.1-beta		e9760e6d5f1f9f9903445118eeb33b8e844d3487
aws.sdk.kotlin	firehose-jvm	0.28.2-beta		fbbd7ba71e717bf46101531d7295e7d536d25c0a
aws.sdk.kotlin	firehose-jvm	0.29.0-beta		1a5d9c06132c8e93ba6f474a6061e30cc6a919d9
aws.sdk.kotlin	firehose-jvm	0.29.1-beta		ff16d4d472ebe88bbb09445312737724ccdc2bfd
aws.sdk.kotlin	firehose-jvm	0.30.0-beta		53e5584c3514e130f97216644155151f70212eb3
aws.sdk.kotlin	firehose-jvm	0.30.1-beta		87b7905fc1bf4618feefa05eb9219efeb77f679d
aws.sdk.kotlin	firehose-jvm	0.31.0-beta		e35c9903b28a54a3c1e23a8b1cf0d4abd176e6f5
