cc.niushuai.project	steam-token	0.0.1	-	698d273c6947d368a3f96420022e318779e897ac
co.actioniq.thirdparty.com.twitter	scrooge_2.10	3.17.0-4232bc888d6b09f0bf41930956b39dd8f398d96f	-	000872a842384da8746b0f9050a3bfdd5f18588a
co.actioniq.thirdparty.com.twitter	scrooge_2.10	3.17.0-8c5cbcb473dd73e8900604e172d0e8c1bf2c8a74	-	ebe5512af5c8dbeba6f63df09f4d7b38c3413801
co.actioniq.thirdparty.com.twitter	scrooge_2.10	3.17.0-fda97c3c64755e87643b4700e3b9ac136f24e79d	-	48d1966d801284cc4e0858f96c2bec3efc145dd7
com.avito.android	file-storage	2021.10	-	c791995f5363062e9346ea68b5426689cbe4338d
com.avito.android	file-storage	2021.11	-	f1143a14de2d72907a42b23ace1120b8fade1487
com.avito.android	file-storage	2021.12	-	47657659356ad769b0a1f42e4565b472e04166e1
com.avito.android	file-storage	2021.13	-	7efcd1c24e02a07653853881275bc836122d3181
com.avito.android	file-storage	2021.14	-	e529bfcda30acfc42d2a141fbf0a2555baf2814e
com.avito.android	file-storage	2021.14.1	-	b5c15033b3b6311268c7ac8b68a953f03771b3fd
com.avito.android	file-storage	2021.15	-	60d37a3e53eefe9e88dcd2cb03face60e29a32a9
com.avito.android	file-storage	2021.15.1	-	af46884d21732f208a3613ede8c74db05e1919fd
com.avito.android	file-storage	2021.16	-	14eec989208b3feb98ef2ebf127837e0ccc8c3fe
com.avito.android	file-storage	2021.17	-	68ebf528fbbc980684e14cd33c0ae7479ab84afa
com.avito.android	file-storage	2021.18	-	141f2590fd5e08559081c0fd7caa73d8a01a8177
com.avito.android	file-storage	2021.19	-	e77b3dc1ff14c55f8d9571ef8122105d5693a41f
com.avito.android	file-storage	2021.20	-	82b8752cd5d190eaa58b568ed16563a7ed55f6a5
com.avito.android	file-storage	2021.21	-	13d99788e70c32cc58d754bc1d643205f2ac4f90
com.avito.android	file-storage	2021.22	-	4f21284c267acfcbb8c3866690b67f0c8b477925
com.avito.android	file-storage	2021.23	-	fd8591ca8cc8b4e0c25d54e945c2aa2dfc2a3531
com.avito.android	file-storage	2021.24	-	ed1325d07580ca4892ca764ca7b28cdc89c906d2
com.avito.android	file-storage	2021.25	-	496c896279237aceff2201c6ef8ba51861b94bd3
com.avito.android	file-storage	2021.26	-	a7c5af97a8c05d71a75f6fd1b608fd3dd6cf7f7e
com.avito.android	file-storage	2021.27	-	7283a3dc840c1e994b738a9eeb40cb797aa91e96
com.avito.android	file-storage	2021.28	-	911d91aa259a739ad41a3f808658e16cd6c49e64
com.avito.android	file-storage	2021.29	-	ab22a6eb462e6c6a25299c19f4bbd9e240dead7c
com.avito.android	file-storage	2021.30	-	789e9e1a5be2eb0aba9a54cd2b4acfe826dfeb07
com.avito.android	file-storage	2021.31	-	6d93ae3bbdc27e3ecfe19df92a9de9cc5941b2ef
com.avito.android	file-storage	2021.31-agp7	-	19195712a461ff801cddf73b6d00018cb7febc93
com.avito.android	file-storage	2021.32	-	96120f6510bf151104e39aa41c8ce8b09b68293e
com.avito.android	file-storage	2021.32-agp7	-	9e5e572eba969091b84577c33aa42833f7e6b6b0
com.avito.android	file-storage	2021.32-rc-1	-	06857003a6b53151970a043025803aa15e5c6140
com.avito.android	file-storage	2021.33	-	356afa1cb18dec134d32450e66dc2697e6188f27
com.avito.android	file-storage	2021.34	-	b8505128da932a379db9da29ac45444e17208d0d
com.avito.android	file-storage	2021.35	-	790a38f5db1d69e94277df4e9af7922073ff748e
com.avito.android	file-storage	2021.36	-	f1c235c5e9157bad1aa95fe17f0a1e12bdb27022
com.avito.android	file-storage	2021.37	-	a902a8f101214f0c62862f372ec60b251436615d
com.avito.android	file-storage	2021.37.1	-	dc93f47bb93ee53f2bd75237b8629d8541310677
com.avito.android	file-storage	2021.38	-	57ad248d7a776ae013d65fa31cd7701630683793
com.avito.android	file-storage	2021.39	-	c17b888c5971efdfc12123390f3ea2cdcbaaebb4
com.avito.android	file-storage	2021.40	-	3f2645abcfd8c4e37a47a13e7fd71899c4ab9bbe
com.avito.android	file-storage	2021.41	-	ee1eafbfac4bfef6bec166ea0b25dd563bd7ae91
com.avito.android	file-storage	2021.42	-	5eb6f52412c07eb6622696e8d345d915cb4ebe24
com.avito.android	file-storage	2021.7	-	7e57133089c76debee6f58c29433eabc1b6cfc14
com.avito.android	file-storage	2021.8	-	a74457581cc03c763a038d9b84d4ff9dff86c661
com.avito.android	file-storage	2021.9	-	e7c73e7baf356cb4a5ff378f43b8bcaf01fac904
com.avito.android	file-storage	2021.9.1	-	5b3161578fab1c69f291c14827cb712691c90765
com.avito.android	file-storage	2022.1	-	65ee726dba1dcb66ed390a61394b833f970403a6
com.avito.android	file-storage	2022.12	-	acc2f4aa99505bf8619c8a443ec57dcf84a4b8e7
com.avito.android	file-storage	2022.14	-	123647a8bec5c1c9f31fe6648495f276ee5e1f91
com.avito.android	file-storage	2023.15	-	89907ffca4551f3f4fdfffb2f390d2ff42d62b31
com.avito.android	file-storage	2023.19	-	e53abc2b4a04c5a8508516715b18c4c19cce429b
com.avito.android	file-storage	2023.2	-	d60f534a94cf44181a1bc05cf748c86c2e29a223
com.avito.android	file-storage	2023.20	-	1c498a9ae23d1929cece7add15f185ac041c2c22
com.avito.android	file-storage	2023.22	-	590586e1ac2f7c5534960cc28f0fd86d037cc022
com.avito.android	file-storage	2024.32	-	7a2a020e3c6864912d85bd64306720eec0ff5e64
com.c4-soft.springaddons	spring-security-test-keycloack-addons	1.2.0	-	f1ef514d9214b8dc4218b60b00b943fee2283899
com.crashinvaders.lml	gdx-lml-vis	1.10.1.11.0	-	99d5ec43a1b0f12610feecb09656787fc3cd20fb
com.crashinvaders.lml	gdx-lml-vis	1.10.1.12.0	-	69b693857545f53e2ff77bc709c6817abc3fc5b5
com.crashinvaders.lml	gdx-lml-vis	1.10.1.12.1	-	6d9c1a8a1e3087b77062562caec3941ab069276e
com.crashinvaders.lml	gdx-lml-vis	1.9.1.10.0	-	6063120d89ac02c288b7f3a21b12c559f9b68689
com.github.andyglow	scalax-range-joda-time_2.13	0.4	-	b2fd267e7721e920a72b2b4183de58d344e22756
com.github.andyglow	scalax-range-joda-time_2.13	0.5	-	8fe78ef134980d9af855739f19a0bd06dc6fa576
com.github.andyglow	scalax-range-joda-time_2.13	0.6	-	13a33f63822a22d72f66e7027d0d866fc4ccc38c
com.github.mengweijin	quickboot-layui	1.0.42	-	91b7a909ac918d7b82a9b6364228bb957d94b5a1
com.github.mengweijin	quickboot-layui	1.0.43	-	0a9dc64ef57d15cf452d08c8f092188efa37ef52
com.github.mengweijin	quickboot-layui	1.0.44	-	e25353324efb03bc8433ea07e82200a1403d80fe
com.github.mengweijin	quickboot-layui	1.0.45	-	de3449d4945a062db2ac53dc22e661bc07f35966
com.github.mengweijin	quickboot-layui	1.1.0	-	9eb4f0522b7f0891479005fa4a5a00870258130d
com.github.mengweijin	quickboot-layui	1.1.1	-	9fe81ff45694deae91cf6e48304611bedc462916
com.github.rbuck	java-codecs	1.0	-	9a0a13b4478a3b689cc6f7ac6c983276555c48c7
com.github.rbuck	java-codecs	1.0.1	-	4530c365ccb519810e48cad7a87f63750c316052
com.github.sarahbuisson	pitest-scm-extension	0.3	-	c02d92bd1052016527afd571d4d3181c0a9b7af5
com.github.sarahbuisson	pitest-scm-extension	0.4	-	147db6d74db54e840e17d5294fb0486c56d0af44
com.github.xuwei-k	play-slick_2.12	5.1.0-fork-2	-	a1e06ae0eca76fa13e1d4ff4f54565b91ecd4b50
com.github.xuwei-k	play-slick_2.12	5.1.0-fork-2	5.1.0-fork-2-playdoc	570f0793a59515d83401a00b54af93c6c91a1be0
com.github.xuwei-k	play-slick_2.12	5.1.0-fork-3	-	cbac017cd2f76700bd550d0b21dc1cd4cfd692a9
com.github.xuwei-k	play-slick_2.12	5.1.0-fork-3	5.1.0-fork-3-playdoc	570f0793a59515d83401a00b54af93c6c91a1be0
com.gomcarter.frameworks	xml-excel	2.0.0	-	63f45320a5a4fe2438c07f66f45b3f00f21e3572
com.gomcarter.frameworks	xml-excel	2.0.10	-	21d32410c92f433d89d65cefbb233e6d812ae30e
