ai.djl.dlr	dlr-native-auto	1.6.0		74af89a315a802290f292a1f72d0691ad063492e
ai.grakn	migration-sql	0.10.0		4a2e7257912f76478fcc94c5349f5b36b76f0ca6
ai.grakn	migration-sql	0.11.0		cca574c018c1430492a92e580a531b352f585e77
ai.grakn	migration-sql	0.12.0		3e395a3db4683953fd46e513940b1eebf75f02d3
ai.grakn	migration-sql	0.12.1		1c193d92293748f204fe47560622ebf158b5e089
ai.grakn	migration-sql	0.13.0		f1cb088888b5ddd927a7300e7a322fe474062a58
ai.grakn	migration-sql	0.14.0		928a34e90b2960d8fa46f99a0c513d71067ba9f8
ai.grakn	migration-sql	0.15.0		147207f2fa97f82cfb9411e78857dbc1951bf402
ai.grakn	migration-sql	0.16.0		2567dc48bf86d8c6b97ceb9be28e232c27326ffb
ai.grakn	migration-sql	0.17.0		76867ee329fe36595da1287fa9a8d14856e40162
ai.grakn	migration-sql	0.17.1		06784e3a601e44a3ce0796c97dafcac7d2989ee3
ai.grakn	migration-sql	0.18.0		2d72a57fcb337e41d4bd7ec6e99933893a103ba4
ai.grakn	migration-sql	0.6.1		777535ff6b3f864117c24402e64074691951976f
ai.grakn	migration-sql	0.7.0		5bbb3c7c9b5313560f6c0ea2fe07ed3361bdda37
ai.grakn	migration-sql	0.8.0		70f3eb9653c8b3338b05df9d0c3263fad2647d95
ai.grakn	migration-sql	0.9.0		ab433082a06447a34dcb640b353dd8c6bd3f3c78
ai.grakn	migration-sql	1.0.0		50317ff7f3f8ef852036fd6cff32c20387d1f43c
ai.grakn	migration-sql	1.1.0		438ea87e69f6425d9f9b173c776218dea5b45e66
ai.grakn	migration-sql	1.2.0		b77d6b4b5e67256ca8ee7af78a01ed745b9b15b5
ai.grakn	migration-sql	1.3.0		1df84a5017d4678e3cfb1069d224bc582341947e
ai.grakn	migration-sql	1.4.0		75f6d25848243b6260a54ad42e39229869c23f23
ai.grakn	migration-sql	1.4.1		6af23a63a2909b7e48267e5c9481aa1e366e103c
ai.grakn	migration-sql	1.4.2		e2858fd910160bc6a188823e8431c2e494f80b40
ai.grakn	migration-sql	1.4.3		d4b6492b9aed35633687499434678ddde7d8bd7d
ai.grakn	migration-sql	v1.1.0-226-g847ecff2d8e26f249422247d7665fe15f07b1744		5a6aaba9c0fd0a1a0a30319632c8284040a260e1
cn.locusc	ga-dingding-api-client	1.0.0		e0fcb363082e58422212a0f592a991e33971bc60
cn.locusc	ga-dingding-api-client	1.0.1		061601eebfcf7cd984f03985a4a07818341ec147
cn.locusc	ga-dingding-api-client	1.1.0		6c45812f2b570e824606cdeb378427e998d09cb5
cn.locusc	ga-dingding-api-client	1.2.0		e315cc9044e40a3308e0c233ccdc97ea4a425e4e
cn.locusc	ga-dingding-api-client	1.2.1		91fa491199af832a7ea29f74a1a62a5c0f91a2b7
cn.locusc	ga-dingding-api-client	1.3.0		a3a2b0af57b0c2eb05502373df3143a92dbc7fbd
cn.stylefeng.roses	kernel-d-pinyin	7.0.0		N/A
cn.stylefeng.roses	kernel-d-pinyin	7.0.1		N/A
cn.stylefeng.roses	kernel-d-pinyin	7.0.2		N/A
cn.stylefeng.roses	kernel-d-pinyin	7.0.3		N/A
cn.stylefeng.roses	kernel-d-pinyin	7.1.0		N/A
cn.stylefeng.roses	kernel-d-pinyin	7.1.0.Final		N/A
cn.stylefeng.roses	kernel-d-pinyin	7.1.1		N/A
cn.stylefeng.roses	kernel-d-pinyin	7.1.2		N/A
