au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-container-h2	2.0		9074909c62abebb493b56c772b6e83d0bd854c40
com.alipay.sofa	sofa-ark-maven-plugin	0.1.0		a9564d6a1555460a5a4511f1030e615bc97d29be
com.alipay.sofa	sofa-ark-maven-plugin	0.2.0		7c45475ed910707ce3fbcc1381ef2c96f11372d0
com.alipay.sofa	sofa-ark-maven-plugin	0.3.0		5b831f919661dd13c4d606fad1444aae032862e5
com.alipay.sofa	sofa-ark-maven-plugin	0.4.0		f1b2134695e2eeb8ce26152fb5d05e35c821fba2
com.alipay.sofa	sofa-ark-maven-plugin	0.4.1		7dda19cce990282471a00e2d39a2396451f26cef
com.alipay.sofa	sofa-ark-maven-plugin	0.5.0		7051844769bc7da85d922e923062c3135b82bc59
com.alipay.sofa	sofa-ark-maven-plugin	0.5.1		1cb4326b0abb8e5378781624a138bdcb484bb9f3
com.alipay.sofa	sofa-ark-maven-plugin	0.5.2		7273f8290d3c918f714f053d63221ef2c8bfa4f5
com.alipay.sofa	sofa-ark-maven-plugin	0.6.0		4b2a6be686061a961538764ee3e5399be84afec7
com.alipay.sofa	sofa-ark-maven-plugin	1.0.0		13205a7e660d40c732d0a3ab524703c08c4af0a9
com.alipay.sofa	sofa-ark-maven-plugin	1.1.0		2ad2f6e955f2d824089a9f5af546dff89fdebf56
com.alipay.sofa	sofa-ark-maven-plugin	1.1.1		0ba2e845ac05beb3de7f16d778ea0baba924af90
com.alipay.sofa	sofa-ark-maven-plugin	1.1.2		ab6adc713d7e95701023cc104022b85a81e554f2
com.alipay.sofa	sofa-ark-maven-plugin	1.1.3		e4367dfc25d4bbb1eb85327bfcf37a0a91da9b5a
com.alipay.sofa	sofa-ark-maven-plugin	1.1.4		197c6c6f1eece87e74896f45dd7884a2792c7e59
com.alipay.sofa	sofa-ark-maven-plugin	1.1.5		bf2f0cc1e90be2cd1bc294c65004ef1381c05200
com.alipay.sofa	sofa-ark-maven-plugin	1.1.6		f5fe46aca647232cb55daa20adfd6d2360f05f7c
com.alipay.sofa	sofa-ark-maven-plugin	2.0.0		9bf5896e04388d67dc5469115fbe6f4c92bd259f
com.alipay.sofa	sofa-ark-maven-plugin	2.0.1		758bd1b0b640fd25aca43b2d247969da50125a69
com.alipay.sofa	sofa-ark-maven-plugin	2.0.2		6364049d125c2da62e68e66e5a28d869fa33d27e
com.alipay.sofa	sofa-ark-maven-plugin	2.0.3		25dc3fecdce06692e7fc038f0fe3ea1b0a220c5d
