biz.aQute	osgi.enroute.base.api	2.2.0		96EAB15631DF092D1BF97322082B988874001D96
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	4.0.0		68c5e66e39685d119828c3192aacc7dabc469d0a
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	4.0.1		6a785083f6b6a1ee3c2705b7784c4c9ad81c062f
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	4.0.2		d91dcce823c8bcd0e78ffb265fddb325b49ec138
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	4.0.3		d0639b1987e6fe52644f6690bb2576802736a35c
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	4.1.0		467307cd8ea171b5ab27780133f7f980365b7162
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	4.2.0		0e11eb62f0bfd8abe69a2077cd5bec1be8029391
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.0.0		0f06f11a2c1d0ea02d2e484c301f4b19a1bc8222
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.0.1		61e371c2e0d81e0039dad6b233ec3b4516156520
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.0.2		5d12ec9fb6c6642e7c21197c029eacb6dd494837
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.1.0		bd79fa0ee024eea11479b3b448975a1b2c36521a
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.2.0		6a341d4709f1c0a80dfc0508c32081ee6409afdf
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.2.1		cb0d1da43d2fa296ad46b7dd6a8dc07f7a3adf1a
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.3.0		face2897053182f7c227e59791cdb5d8bffa6e92
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.3.2		8a187b5a411f1434a1164f3e8cbff8b80cbfd562
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.3.3		7b0a85046be8c701607f84770593ba76a878c91d
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.4.0		134d21e8435d79b262f6961add25883ec68e6ca2
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.4.1		e8183d9672f95394a3dbcaf4dde6b9399fcc3290
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.4.2		51cbd5f94e50786c8c9199e025c2f9f8a12b7aac
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.5.0		f8549768e29f433e20980e4f502124f4c5677223
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.5.1		ac3192ab4e236906f8f761533700e64603039cdb
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.5.2		fed583e5230f01d27a4f44bc3e5a2da60f71c204
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.5.3		ce35ec0e71ad4889941e3e8b2a8dc63f699c668b
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.5.4		283a8f1dcfda733ed1d41efe40c710d916a9f4a2
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.5.5		39849680f63e8271c85e4dd2add3681e3abed73c
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.5.7		784044d03c92e7fb80b74714ea650feb6e927b88
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.6.0		580b13e9fb906649a73262394b2fd4607ce8a141
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.6.1		95f6f53a26637c2bc6f8e21f97cb063b5fee734e
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.6.2		116497c84b4b341905b92d65a51041a6678a8f7a
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.6.3		9a7a0cc3750c245f1955874ab736553a6e689f75
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.6.5		bd940249ee8b82cba8db1fcf38d929a105936cc2
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.7.0		41252cc4b4f1d5b8e467de5c3f3554ca2fc88b7b
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.7.1		e7d84eeb6a5a4038192a1f9678ec99fa53721879
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.7.2		1f894c880e37f0fd8c979a68eea7e9844b840dd5
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.7.3		51fda6524962e275bd0db640aa32bd0b57db4ebe
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.7.4		0460879ca41d897d3e35066958f757799c64453c
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.7.6		897c020767b75f787dadc1d3aa34310652c22835
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.7.7		617b5fef383468386a643180eb6272b63f9efbad
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.7.8		899ff072e12a6c26dd8cd20d4b7d24ae01adc15d
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	5.7.9		252d7da4c397d8b37223422bdebed2bd10878f42
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.0.0		f8e3fc48941dec2635a4cd63fc5213ae223bd33b
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.0.1		468cf9897327fa2976fafc2da21d43a0f650e2be
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.0.2		fe493f5eb9317dc50554f4fbd82c184529e610e8
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.0.3		62bb123563ef31d4f5331a9be5eeefffcafac49d
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.0.4		4109a5dbea9c449acd00d606bb0941a61112aabe
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.0.5		fb5cdefcb5b2d092e67f771d26e348aae478124d
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.1.0		3b066c3f5a425cbc8a672aa22a7f1880c49acf36
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.1.1		bb7b5a6bbe9baa336bc61de9006ab694d5305e23
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.1.2		68250db1807002f771f393d49eaf675e2f325b8f
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.1.3		dd866824b4f003fe6bf66d56afca6bf93fbf2f36
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.10.0		fb00c39122366afaf9228cd4458bad9b0c006906
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.10.1		c6231eea7b3d2e1845b178770dc16e6d57967716
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.10.2		f6f0b8c94474325ca1e790e5b1f9a184dfd5c763
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.10.3		e5fd58d4e2397e56a1c83e27343f1d242bac93be
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.10.4		9f52b48b355dbb764b69657bb0edb3c3c38e7961
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.10.5		a2fc596dac4d3e8721791858b6e52f061dbf7438
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.2.0		712cb0cddc810c45d633e003eab14df32479db08
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.2.1		a5ca771d1e6ac13c7e0ee7af5c5417bd3490edf2
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.2.2		79d8387a32400d2c9775fd5c781ac25471d589d3
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.2.3		aa8562dc3fe95d456ff801650dd542c2962e4874
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.2.4		0e59ed2fab299d7f0a5cba494b3bcc376d5a23e7
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.2.5		6c9c64801bbaa7395f4d0e6a2f0375fa902d79e6
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.4.0		7dd997a45fc89e57d8cdf056d1f0301b31751a4e
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.4.1		10c5c3fb19253222cec07a52e3c11619eb9bb392
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.4.2		e9f256295268ee1c68657c688efc2bb0c178b8df
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.4.3		aec91ccbabe5663d76490a3b6d252e097b52d005
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.4.4		ac159ea91de02ba6ef9e88a6c7bf935d59a2c288
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.4.6		065b3d159d6f2f457b0e6aa2329c205ecf98e15f
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.4.7		6d228774cedf38dcc443c97783001c001cd5b0a7
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.6.0		81c0e5121970fa166cae5e061637a9dc4e013d22
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.6.1		e43bdf8b83d6ee7159b3fc4228d1a0b4f1511fa9
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.6.2		6f13c6f5ca8d8e535a4c589e8926040a769a841a
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.8.0		2b737d2e746c264cf1bc60c113ff1ab9097de4c0
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.8.1		513086c60c0330ec0d4fe679d1bf6d1138786446
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.8.2		d6c96747a81e034918b2a7b316c44f518681e57c
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.8.3		4f3e674f12e7e34078017717d02b0c6cc005c575
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.8.4		71d062f34cfdf56bb36034855edbd6ed2e80a5ed
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.8.5		489669217082353e237208550956c046074b7526
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.8.7		d5696cbf1b7ac25a20c324c58aaad7132b3437c3
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	6.8.8		6181584f094275915c7388a3234cf693566be8ff
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.0.0		c7f64165c4ba08116e6a081badf68713c131cd85
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.0.1		e51760822d5f21e90e666bc16f513453f6bbf781
ca.uhn.hapi.fhir	hapi-fhir-validation-resources-r5	7.0.2		f379397a19850ca08b74038c43dfc9653e9a37a2
