au.com.bytecode	opencsv	2.4		66151f8e7f00426025da525c2d64ed78cbe3fd08
aws.sdk.kotlin	mwaa-jvm	0.16.0		54d8ed6ddf999cda2e2aefe063bc3993ca222845
aws.sdk.kotlin	mwaa-jvm	0.16.1-beta		d9b18802c29b46a58904e9e4712ccf6b458930f9
aws.sdk.kotlin	mwaa-jvm	0.16.2-beta		4a01b285423ed4e615648b5b8edcc3346668d44e
aws.sdk.kotlin	mwaa-jvm	0.16.3-beta		cc063da1d5abe3a5f16f911ebfd02cb497bbb51c
aws.sdk.kotlin	mwaa-jvm	0.16.4-beta		51e96599d27b4c96a128a3b7f4a65e7903fb6f10
aws.sdk.kotlin	mwaa-jvm	0.16.5-beta		3a7db1eb278f20de1d22ae66585183496415a0e6
aws.sdk.kotlin	mwaa-jvm	0.16.6-beta		1d1783a1af3a7ee4cf3b8bdaed6186fe21e9b084
aws.sdk.kotlin	mwaa-jvm	0.16.7-beta		33f8c46b2f077be70df58544e3716cebd1d9ff09
aws.sdk.kotlin	mwaa-jvm	0.17.0-beta		cbecde3b96de54e851c0bd830115c6764089aa42
aws.sdk.kotlin	mwaa-jvm	0.17.1-beta		53f11a4db53b3663a9ac131a2a19dc9c5cbafdaf
aws.sdk.kotlin	mwaa-jvm	0.17.10-beta		14fa60f8c948a3c4131fa4873c43ac9bae9dbb90
aws.sdk.kotlin	mwaa-jvm	0.17.11-beta		054d23262b4124a173a03fd098a0c0de8e88a6ee
aws.sdk.kotlin	mwaa-jvm	0.17.12-beta		8bf3eab6a89bc57facdc571f5ca4d9547e8e48e7
aws.sdk.kotlin	mwaa-jvm	0.17.2-beta		23755b2187493e713c74a78e082fd3a56d39fcc1
aws.sdk.kotlin	mwaa-jvm	0.17.3-beta		65dd8960314ba50e921636ecb20aaf4bd60bbdae
aws.sdk.kotlin	mwaa-jvm	0.17.4-beta		a3cbf3da4b0333030b283246886179a660bcb46e
aws.sdk.kotlin	mwaa-jvm	0.17.5-beta		2a1009121db347fff83c8f499e94fbee7e85cd85
aws.sdk.kotlin	mwaa-jvm	0.17.6-beta		621ff0e9b478122b853710f8400992530d1b8289
aws.sdk.kotlin	mwaa-jvm	0.17.7-beta		4aa720d254247fc3bfce5f7cc4950f6925fc134d
aws.sdk.kotlin	mwaa-jvm	0.17.8-beta		2368a5632f9a482c8092ae6b478b87d3cbb4988e
aws.sdk.kotlin	mwaa-jvm	0.17.9-beta		e2b1d774ffd8be2cd72440b679d304ad876ad8fd
aws.sdk.kotlin	mwaa-jvm	0.18.0-beta		39de0069c7e5c023c9fce292c44aef184bc0e937
aws.sdk.kotlin	mwaa-jvm	0.19.0-beta		ec97e35d8a6c8e31d7345658677f788402e06270
aws.sdk.kotlin	mwaa-jvm	0.19.1-beta		84c12049c05bd75e96ccbc3e27a72a8f2389bb5a
aws.sdk.kotlin	mwaa-jvm	0.19.2-beta		7315c32308927a75674d6e52a061c303b966502e
aws.sdk.kotlin	mwaa-jvm	0.19.3-beta		024813aa02d7a227551f7329f373a1485da76c4c
aws.sdk.kotlin	mwaa-jvm	0.19.4-beta		49ae90c1f784a8d4dfec675617775840fa9feee2
aws.sdk.kotlin	mwaa-jvm	0.19.5-beta		b1e15ca2cc3e9cf870e77ad3f4f22273a9e64b17
aws.sdk.kotlin	mwaa-jvm	0.20.0-beta		04226d9b5b32e31602ee2dd9430897891ea0337e
aws.sdk.kotlin	mwaa-jvm	0.20.1-beta		3e32702aabd4269ff9dc7c5a60993d1626489d5d
