cn.com.antcloud.api	antcloud-api-provider-adom	1.0.0	-	87dca4ee09848deffa1f657095fa684dc57ba8f5
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.0	-	56bed5816ad61b4906d3e8f82305b438e4ec9859
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.10	-	75c89b65087078c980eeadde4feab92bf2728f13
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.20	-	781657a62d1bc2cd714d7587f2e212ba83a91b60
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.30	-	ebf6ec6ba729d6783c34333517e9c02f7357b808
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.40	-	961ed68349d77322a15f8958351d2c002b322f89
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.50	-	6a7c3be80b61b4fe9d09ff4e8cc9faaf1e7b8884
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.60	-	32e21808991af9b28a9f8da3dbb9c292efb2f261
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.Beta1	-	6aaa0bab43bc66dc42201d00b6502159059d875d
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.Beta2	-	c423a4b2de1907f18f6914837eb4b24d7d35bfa1
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.Beta3	-	9e02c40386ebd12b7a4f5e5aa76ceaa49fd1b77f
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.Beta4	-	798898091993e7a905743a1b67ac24b905e3f086
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.Beta5	-	23a206e606fcf28baf9141d9bd525c917851ca70
cn.herodotus.engine	pay-sdk-wxpay	2.7.0.RC1	-	6e9ca009233229e501028a37f8b907272474bb5f
cn.herodotus.engine	pay-sdk-wxpay	2.7.1.0	-	5fce470ae2dcc10570b14084238e4da0075bf29e
cn.herodotus.engine	pay-sdk-wxpay	2.7.1.1	-	1a583864a40cdf9f8d59866971d6d7661611c59c
cn.herodotus.engine	pay-sdk-wxpay	2.7.1.2	-	911f5ea27105cc0ce9866e4d0b59ba7d44362d41
cn.herodotus.engine	pay-sdk-wxpay	2.7.1.3	-	734472f3e60284e7dab889bc6bf333d1ee49bae6
cn.herodotus.engine	pay-sdk-wxpay	2.7.10.0	-	e3e33f7816cdfe5221e1aac5f47c05b4ec5290d8
cn.herodotus.engine	pay-sdk-wxpay	2.7.10.1	-	3272fca623dc6d47bb0884513d708e3cb0ffd2bd
cn.herodotus.engine	pay-sdk-wxpay	2.7.10.2	-	03ffbf11ec51514a2b353ea494197d062edf49fb
cn.herodotus.engine	pay-sdk-wxpay	2.7.11.0	-	854ab1ace538d1a4a46a5c307ff848004f463df7
cn.herodotus.engine	pay-sdk-wxpay	2.7.11.1	-	fee71587bac047b0fb6e74d2f7eb7edeec97991d
cn.herodotus.engine	pay-sdk-wxpay	2.7.12.0	-	18d565ba0637a3dddaa296955192436dc319f530
cn.herodotus.engine	pay-sdk-wxpay	2.7.12.1	-	cd7443c72465b73259f1d953b49be1db7e7566ac
cn.herodotus.engine	pay-sdk-wxpay	2.7.13.0	-	5d882f1903d4f2d9c0a01dd8c928fbd8f468b6a3
cn.herodotus.engine	pay-sdk-wxpay	2.7.14.0	-	9fa8d00842180b018a68c67acca14ba71661579a
cn.herodotus.engine	pay-sdk-wxpay	2.7.15.0	-	185e487551cf7787c4a8feb31040a6d6d0258973
cn.herodotus.engine	pay-sdk-wxpay	2.7.16.Final	-	532535876da4c74a13f84fa4115c0ee0296d5d73
cn.herodotus.engine	pay-sdk-wxpay	2.7.18.Final	-	845ff99223cee0d3525856e317df57e2655ad288
cn.herodotus.engine	pay-sdk-wxpay	2.7.2.0	-	471f37459a92aca1b78dadfb1f773894d8fb29f2
cn.herodotus.engine	pay-sdk-wxpay	2.7.2.1	-	0daebb8b38decdbd1aab8863da15b71e352424d6
cn.herodotus.engine	pay-sdk-wxpay	2.7.2.2	-	83bfbf10053c2bc9f0a0101125d44157d1f5b29c
cn.herodotus.engine	pay-sdk-wxpay	2.7.2.3	-	2e453f5ec22b776640a2ff1b8b3319f122d70002
cn.herodotus.engine	pay-sdk-wxpay	2.7.2.4	-	3efc92e6b0e461406caa658819dd844d52dcdcd7
cn.herodotus.engine	pay-sdk-wxpay	2.7.2.5	-	56e32b811f70465cd1a88af24f48f30dca707c97
cn.herodotus.engine	pay-sdk-wxpay	2.7.2.6	-	9a3ec40f31714d07f103461c565d2c6fbd6d31da
cn.herodotus.engine	pay-sdk-wxpay	2.7.3.0	-	7d14e5a4a6ab54666f29232e1ff9ad7ff5f6b605
cn.herodotus.engine	pay-sdk-wxpay	2.7.3.1	-	c0104473c10bc7ecac70cbcc8a6445f8a2b54eaa
cn.herodotus.engine	pay-sdk-wxpay	2.7.3.2	-	cea08d1ede9b11dc932dce86145b187a1e989460
cn.herodotus.engine	pay-sdk-wxpay	2.7.3.3	-	887ce9ac13f4016ba412597c39f92d623bd668f3
cn.herodotus.engine	pay-sdk-wxpay	2.7.3.4	-	a0db672c9e57d2a9a0c0a4368c8857d973f15cce
cn.herodotus.engine	pay-sdk-wxpay	2.7.3.5	-	2b4d67a7f259fc6a2f22358c5270c21084bf8d33
cn.herodotus.engine	pay-sdk-wxpay	2.7.3.6	-	e46e3874988c6601dd32fb9f0035460144a41b27
cn.herodotus.engine	pay-sdk-wxpay	2.7.4.0	-	49df5bf09c0d26ac96d89587fad845cd18c1c9d0
cn.herodotus.engine	pay-sdk-wxpay	2.7.4.1	-	ece26ebbcb2d83f8d6b0f40b9a282aa4a6d5a21e
cn.herodotus.engine	pay-sdk-wxpay	2.7.4.2	-	1ac56617ff3f52131eda630a80ec2ef04fbc7fac
cn.herodotus.engine	pay-sdk-wxpay	2.7.4.3	-	7c5d66aaca46b89ffe9fcdc322d87caa318c6320
cn.herodotus.engine	pay-sdk-wxpay	2.7.4.4	-	9518816e0d7a6c0f280aa3629bcb0210a569ff39
cn.herodotus.engine	pay-sdk-wxpay	2.7.4.5	-	8886b77bf41ac64f3ef6b98d1be33fc4ef5d3574
cn.herodotus.engine	pay-sdk-wxpay	2.7.5.0	-	a1b0d2d84890538456254ca5bf21072cee44e2db
cn.herodotus.engine	pay-sdk-wxpay	2.7.5.1	-	dd1cec6f5324db5e3e5cc1553e3c77a68ab8975d
cn.herodotus.engine	pay-sdk-wxpay	2.7.5.2	-	2d54b60aa444d29be254ddfe3e49ca51783b08eb
cn.herodotus.engine	pay-sdk-wxpay	2.7.5.3	-	153c4787b3eddd72cc334bc2aeb42640fc4e7260
cn.herodotus.engine	pay-sdk-wxpay	2.7.6.0	-	9945b4ebb04ae8cd466fa9412b8e5bf8f562d278
cn.herodotus.engine	pay-sdk-wxpay	2.7.6.1	-	eaf1505d98dc8931a5ee92718e9c99e9a326b932
cn.herodotus.engine	pay-sdk-wxpay	2.7.7.0	-	7a36690f27a94bb598928cd6272199bcc3478c17
